id,url,name,PosterPath,Overview,Thời lượng,TotalEpisodes,Language,year,CountryId,genres,genresId
1,https://phimmoichille.com/phim/su-tra-thu-cua-nang-bach-tuyet-1014,Sự Trả Thù Của Nàng Bạch Tuyết,https://i.starzd.com/su-tra-thu-cua-nang-bach-tuyet.jpg,"Phim Sự Trả Thù Của Nàng Bạch Tuyết kể về Moon Jung In, người phụ nữ sẵn sàng làm mọi thứ để đạt được mục đích. Sau khi kết hôn với bác sĩ Beak Dong Ho để chiếm đoạt tài sản, cô đẩy con gái ông, Seol Ah, vào trại trẻ mồ côi. Khi gặp lại mối tình đầu Seo Jin Ho, người đang đính hôn với Seol Ah, một cuộc chiến đầy thù hận và âm mưu bắt đầu, đưa tất cả vào vòng xoáy của tình yêu và sự trả thù.",30 phút / tập,100 Tập,Phụ đề Việt,2024,7,Tâm Lý - Tình Cảm,11
2,https://phimmoichille.com/phim/vinh-da-tinh-ha-963,Vĩnh Dạ Tinh Hà,https://i.starzd.com/vinh-da-tinh-ha.jpg,"Phim Vĩnh Dạ Tinh Hà xoay quanh Lăng Diệu Diệu, cô gái tràn đầy năng lượng bị ràng buộc bởi hệ thống để chinh phục Mộ Thanh, một người đàn ông bí ẩn và tâm lý phức tạp. Trong hành trình này, Diệu Diệu không chỉ tìm cách hiểu Mộ Thanh mà còn phải đối mặt với những thử thách nguy hiểm. Câu chuyện khắc họa hành trình tìm kiếm tình yêu và sự hy sinh, khi Diệu Diệu vừa chinh phục trái tim người yêu, vừa cứu rỗi thế giới khỏi những âm mưu đen tối.",45 phút / tập,32 Tập,Thuyết Minh,2024,9,Cổ Trang - Thần Thoại,13
3,https://phimmoichille.com/phim/mac-vu-van-gian-376,Mặc Vũ Vân Gian,https://i.starzd.com/mac-vu-van-gian.jpg,"Phim Mác Vũ Vân Gian kể về Tiết Phương Phi, con gái của huyện lệnh, sau khi mất đi tất cả mọi thứ, đã được Khương Lê, con gái của trung thư lệnh, cứu mạng. Nhờ vào sự giúp đỡ của Khương Lê và Tiêu quốc công Tiêu Hoành, cùng với sự ủng hộ của mọi người, Tiết Phương Phi đã vượt qua được mọi khó khăn và nguy hiểm.",45 phút / tập,40 Tập,Thuyết Minh,2024,9,Cổ Trang - Thần Thoại,13
4,https://phimmoichille.com/phim/tai-tu-tren-san-khau-nhac-755,Tài Tử Trên Sân Khấu Nhạc,https://i.starzd.com/tai-tu-tren-san-khau-nhac.jpg,"Phim Tài Tử Trên Sân Khấu Nhạc kể về Jo Jung Suk, một diễn viên nổi tiếng, khi anh quyết định theo đuổi sự nghiệp âm nhạc. Với sự hỗ trợ tận tâm từ những người bạn trung thành, anh vượt qua thử thách và gặt hái thành công trên sân khấu âm nhạc. Bộ phim không chỉ làm nổi bật hành trình nghệ thuật của Jo Jung Suk mà còn ca ngợi sức mạnh của tình bạn và lòng kiên trì trong việc theo đuổi đam mê và ước mơ.",50 phút / tập,8 Tập,Phụ đề Việt,2024,7,"Thể Thao - Âm Nhạc,TV Show","10,15"
5,https://phimmoichille.com/phim/thuc-cam-nhan-gia-1078,Thục Cẩm Nhân Gia,https://i.starzd.com/thuc-cam-nhan-gia.jpg,"Phim Thục Cẩm Nhân Gia xoay quanh Lý Anh Anh, một tiểu thư xinh đẹp nhưng phải trải qua biến cố lớn trong gia đình, đưa cô đến làm việc tại xưởng nhuộm vải Hoán Hoa của Dương gia. Tại đây, cô gặp Dương Tĩnh Uyên, tam công tử của Dương gia, và mối quan hệ giữa họ dần phát triển. Bộ phim là hành trình tình yêu đầy cảm xúc, từ những khoảnh khắc ngọt ngào đến những thử thách, hứa hẹn đem lại những phút giây cảm động cho khán giả.",45 phút / tập,40 Tập,Thuyết Minh,2024,9,Cổ Trang - Thần Thoại,13
6,https://phimmoichille.com/phim/vu-dieu-chien-thang-1022,Vũ Điệu Chiến Thắng,https://i.starzd.com/vu-dieu-chien-thang.jpg,"Phim Vũ Điệu Chiến Thắng kể về nhóm cổ vũ Millennium Girls, gồm 9 cô gái ở làng Geoje vào năm 1999. Dưới sự dẫn dắt của Pil Sun và Mi Na, hai nữ sinh đam mê vũ đạo, họ cùng nhau tham gia cổ vũ bóng đá, biểu tình cho công lý và mang niềm vui đến viện dưỡng lão. Phim là hành trình trưởng thành, tình bạn, và khát vọng của những cô gái trong những năm tháng thanh xuân tươi đẹp, đầy ắp hy vọng và sự thay đổi.",120 Phút,,Phụ đề Việt,2024,7,"Tâm Lý - Tình Cảm,Thể Thao - Âm Nhạc","11,10"
7,https://phimmoichille.com/phim/phi-tri-nhan-sinh-95,Phi Trì Nhân Sinh,https://i.starzd.com/phi-tri-nhan-sinh.jpg,,45 phút / tập,28 Tập,Phụ đề Việt,2024,9,"Phiêu Lưu - Hành Động,Tâm Lý - Tình Cảm,Thể Thao - Âm Nhạc","1,11,10"
8,https://phimmoichille.com/phim/dau-la-dai-luc-589,Đấu La Đại Lục,https://i.starzd.com/dau-la-dai-luc.jpg,"Phim Đấu La Đại Lục xoay quanh nhân vật chính là Tang San, một cậu bé con của một thợ rèn. Được đào tạo từ nhỏ bởi cha mẹ là những thợ rèn tài ba, Tang San có một sức mạnh bẩm sinh và đam mê học hỏi về những bí ẩn của Vũ Hồn.",20 phút / tập,263 Tập,Phụ đề Việt,2018,9,"Võ Thuật - Kiếm Hiệp,Phim Hoạt Hình","3,6"
9,https://phimmoichille.com/phim/rem-ngoc-chau-sa-962,Rèm Ngọc Châu Sa,https://i.starzd.com/rem-ngoc-chau-sa.jpg,"Phim Rèm Ngọc Châu Sa kể về Đoan Ngọ, một cô gái xinh đẹp nhưng xuất thân nghèo khó, sống bằng nghề mò ngọc trai. Khao khát thay đổi số phận, nàng tham gia đoàn lái buôn của Yến Tử Kinh. Tuy nhiên, cuộc sống của Đoan Ngọ nhanh chóng bị đảo lộn bởi những âm mưu và cạm bẫy, dẫn đến những bi kịch đau thương. Phim khám phá sâu sắc về tình yêu, lòng dũng cảm và khát vọng vượt lên trong hoàn cảnh khó khăn.",45 phút / tập,38 Tập,Thuyết Minh,2024,9,Cổ Trang - Thần Thoại,13
10,https://phimmoichille.com/phim/chay-den-ben-em-voi-van-toc-493km-676,Chạy Đến Bên Em Với Vận Tốc 493km,https://i.starzd.com/chay-den-ben-em-voi-van-toc-493km.jpg,"Phim Chạy Đến Bên Em Với Vận Tốc 493km kể về Park Tae Joon, một người đam mê cầu lông từ nhỏ. Dù ban đầu cầu lông chỉ là công việc của anh, niềm đam mê thực sự của anh được thắp lửa khi anh muốn gây ấn tượng với một người phụ nữ. Anh không chỉ tập luyện chăm chỉ mà còn tìm cách cải thiện bản thân và khả năng thi đấu.",70 phút / tập,16 Tập,Phụ đề Việt,2024,7,"Tâm Lý - Tình Cảm,Thể Thao - Âm Nhạc","11,10"
